anio,estado,clave_siinah,recinto,enero_nac,enero_ext,febrero_nac,febrero_ext,marzo_nac,marzo_ext,abril_nac,abril_ext,mayo_nac,mayo_ext,junio_nac,junio_ext,julio_nac,julio_ext,agosto_nac,agosto_ext,septiembre_nac,septiembre_ext,octubre_nac,octubre_ext,noviembre_nac,noviembre_ext,diciembre_nac,diciembre_ext
2025,Estado de México,4100001,Capilla Abierta de Tlalmanalco,774,0,1496,0,1706,0,878,0,681,2,753,0,3606,0,3336,0,1100,0,1438,0,952,0,234,0
2025,Guanajuato,2300600,Museo Regional de Guanajuato Alhóndiga de Granaditas,7974,1337,7091,1202,7944,1327,9372,1153,7287,743,8536,940,12210,1533,11658,1413,7738,891,8910,1442,9222,1582,9325,1452
2025,Guanajuato,2401300,Museo Casa del Dr. José María Luis Mora,533,0,692,0,898,0,966,0,793,0,557,0,604,0,739,0,629,0,812,0,605,0,113,0
2025,Guanajuato,2401400,Museo Ex Convento Agustino de San Pablo,1184,92,938,30,1094,55,1280,34,1310,28,1010,95,1443,98,1401,42,986,19,1075,25,996,86,1412,106
2025,Guanajuato,2401200,"Museo Casa de Hidalgo ""La Francia Chiquita""",244,0,118,0,126,0,119,0,87,0,72,0,134,0,208,0,234,0,128,0,80,0,93,0
2025,Guanajuato,2401500,Museo Histórico de San Miguel de Allende,4133,188,2834,141,3937,168,3037,185,2821,160,3693,107,4492,103,3670,90,4132,75,3128,111,3926,91,4920,125
2025,Guanajuato,2600300,Casa de Hidalgo,2283,153,1710,131,1822,52,2817,114,2412,96,2211,110,2405,120,2953,82,4127,97,2457,83,2651,82,2430,136
2025,Guanajuato,4100004,Ex-Convento Agustino de Fray Juan de Sahagún,441,0,463,0,477,0,362,0,649,0,422,0,258,0,356,0,280,0,269,0,414,0,339,0
2025,Guerrero,2300700,Museo Regional de Guerrero,3014,0,2362,0,2251,0,3451,0,2262,0,2210,0,2997,0,2539,0,2454,0,2813,0,1343,0,1866,0
2025,Guerrero,2401700,Museo Guillermo Spratling,1001,94,802,57,888,61,950,53,838,42,553,39,952,63,795,39,638,32,430,32,780,56,1208,49
2025,Guerrero,2401800,"Museo Histórico de Acapulco, Fuerte de San Diego",2730,273,1887,437,3008,85,3966,73,2823,99,1625,110,3814,244,2587,67,2842,66,4014,477,9858,162,2720,111
2025,Hidalgo,2401900,Museo de Actopan,1018,25,1173,13,1642,18,1490,11,1009,5,1237,10,2280,5,1256,21,833,0,869,13,1323,9,1197,5
2025,Hidalgo,2402000,Museo de la Fotografía,1623,28,1981,20,1914,16,2114,32,1875,17,1380,36,1547,46,1888,22,1140,17,956,12,1403,33,1197,52
2025,Hidalgo,2402100,Museo Tepeapulco,773,8,668,4,785,5,694,5,725,0,722,4,772,10,700,5,756,10,850,8,730,7,658,7
2025,Hidalgo,4100008,Ex - convento de San Andrés Epazoyucan,747,0,793,0,921,0,829,0,842,0,793,0,871,0,1004,0,674,0,589,60,750,0,821,0
2025,Jalisco,2300800,Museo Regional de Guadalajara,5861,308,5577,269,11085,450,9045,249,6603,159,5904,192,8397,229,9122,327,6055,381,7120,390,6973,289,5201,222
2025,Jalisco,2402200,Museo Arqueológico de Ciudad Guzmán,209,0,249,5,139,0,211,1,173,0,97,0,210,27,276,0,313,2,371,0,260,0,280,0
2025,Jalisco,2402400,Museo del Cuale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,Jalisco,2402300,"Museo ""Casa Agustín Rivera""",394,7,373,4,311,1,524,1,357,4,196,10,396,16,553,14,268,4,294,4,257,4,146,0
2025,Michoacán,2300900,"Museo Regional Michoacano ""Dr. Nicolás León Calderón""",794,41,1237,113,1597,59,1266,57,921,22,828,26,1187,46,1275,51,938,9,1044,24,1350,25,1040,20
2025,Michoacán,2402500,Museo de Artes y Oficios de Pátzcuaro,1070,47,1173,111,1005,114,913,60,977,25,1235,26,1095,49,1216,51,541,12,1617,47,1394,181,586,28
2025,Michoacán,2600400,Museo Casa de Morelos,762,36,836,36,714,32,933,13,496,10,726,17,878,32,961,27,1742,15,1460,23,742,47,502,18
2025,Michoacán,2402600,Museo de la Estampa Ex Convento de Santa María Magdalena,1631,12,1299,34,1414,17,1818,35,1412,0,1468,9,1933,34,2480,31,1383,30,2217,39,1936,23,1561,29
2025,Michoacán,4100015,Templo de Tupátaro,849,58,855,28,893,39,786,22,574,17,441,17,754,29,1126,29,1028,0,605,22,1993,62,615,65
2025,Morelos,2402800,"Museo Histórico del Oriente de Morelos ""Casa de Morelos""",409,6,266,0,447,0,512,0,274,0,335,0,545,4,658,0,475,3,260,3,357,12,282,1
2025,Morelos,2402700,Jardín Etnobotánico y Museo de Medicina Tradicional y Herbolaria,831,22,904,38,655,4,869,24,805,7,999,30,74,0,1189,2,438,17,1479,9,711,7,478,0
2025,Morelos,2700300,Museo y Centro de Documentación Histórica Ex Convento de Tepoztlán,7763,502,5870,680,6443,920,7133,466,7627,782,6701,717,10543,774,11005,775,5427,324,5604,691,6895,840,8175,658
